1,2,1,0;
2,3,1,0;
3,4,1,0;
4,5,1,0;
5,6,1,0;
6,7,1,0;
7,8,1,0;
8,9,1,0;
9,2,2,0;
10,3,2,0;
11,4,2,0;
12,5,2,0;
13,6,2,0;
14,7,2,0;
15,8,2,0;
16,9,2,0;
17,2,3,0;
18,3,3,0;
19,4,3,0;
20,5,3,0;
21,6,3,0;
22,7,3,0;
23,8,3,0;
24,9,3,0;
25,2,4,0;
26,3,4,0;
27,4,4,0;
28,5,4,0;
29,6,4,0;
30,7,4,0;
31,8,4,0;
32,9,4,0;
33,2,5,0;
34,3,5,0;
35,4,5,0;
36,5,5,0;
37,6,5,0;
38,7,5,0;
39,8,5,0;
40,9,5,0;
41,2,6,0;
42,3,6,0;
43,4,6,0;
44,5,6,0;
45,6,6,0;
46,7,6,0;
47,8,6,0;
48,9,6,0;
49,2,7,0;
50,3,7,0;
51,4,7,0;
52,5,7,0;
53,6,7,0;
54,7,7,0;
55,8,7,0;
56,9,7,0;
1,2,5,-,T;
1,9,5,-,T;
1,10,5,-,T;
2,3,5,-,T;
2,10,5,-,T;
2,9,5,-,T;
2,11,5,-,T;
3,4,5,-,T;
3,11,5,-,T;
3,10,5,-,T;
3,12,5,-,T;
4,5,5,-,T;
4,12,5,-,T;
4,11,5,-,T;
4,13,5,-,T;
5,6,5,-,T;
5,13,5,-,T;
5,12,5,-,T;
5,14,5,-,T;
6,7,5,-,T;
6,14,5,-,T;
6,13,5,-,T;
6,15,5,-,T;
7,8,5,-,T;
7,15,5,-,T;
7,14,5,-,T;
7,16,5,-,T;
8,16,5,-,T;
8,15,5,-,T;
9,17,5,-,T;
9,10,5,-,T;
9,18,5,-,T;
10,11,5,-,T;
10,18,5,-,T;
10,17,5,-,T;
10,19,5,-,T;
11,12,5,-,T;
11,19,5,-,T;
11,18,5,-,T;
11,20,5,-,T;
12,13,5,-,T;
12,20,5,-,T;
12,19,5,-,T;
12,21,5,-,T;
13,14,5,-,T;
13,21,5,-,T;
13,20,5,-,T;
13,22,5,-,T;
14,15,5,-,T;
14,22,5,-,T;
14,21,5,-,T;
14,23,5,-,T;
15,16,5,-,T;
15,23,5,-,T;
15,22,5,-,T;
15,24,5,-,T;
16,24,5,-,T;
16,23,5,-,T;
17,25,5,-,T;
17,18,5,-,T;
17,26,5,-,T;
18,26,5,-,T;
18,19,5,-,T;
18,25,5,-,T;
18,27,5,-,T;
19,27,5,-,T;
19,20,5,-,T;
19,26,5,-,T;
19,28,5,-,T;
20,28,5,-,T;
20,21,5,-,T;
20,27,5,-,T;
20,29,5,-,T;
21,29,5,-,T;
21,22,5,-,T;
21,28,5,-,T;
21,30,5,-,T;
22,30,5,-,T;
22,23,5,-,T;
22,29,5,-,T;
22,31,5,-,T;
23,31,5,-,T;
23,24,5,-,T;
23,30,5,-,T;
23,32,5,-,T;
24,32,5,-,T;
24,31,5,-,T;
25,33,5,-,T;
25,26,5,-,T;
25,34,5,-,T;
26,34,5,-,T;
26,27,5,-,T;
26,33,5,-,T;
26,35,5,-,T;
27,35,5,-,T;
27,28,5,-,T;
27,34,5,-,T;
27,36,5,-,T;
28,36,5,-,T;
28,29,5,-,T;
28,35,5,-,T;
28,37,5,-,T;
29,37,5,-,T;
29,30,5,-,T;
29,36,5,-,T;
29,38,5,-,T;
30,38,5,-,T;
30,31,5,-,T;
30,37,5,-,T;
30,39,5,-,T;
31,39,5,-,T;
31,32,5,-,T;
31,38,5,-,T;
31,40,5,-,T;
32,40,5,-,T;
32,39,5,-,T;
33,41,5,-,T;
33,34,5,-,T;
33,42,5,-,T;
34,42,5,-,T;
34,35,5,-,T;
34,41,5,-,T;
34,43,5,-,T;
35,43,5,-,T;
35,36,5,-,T;
35,42,5,-,T;
35,44,5,-,T;
36,44,5,-,T;
36,37,5,-,T;
36,43,5,-,T;
36,45,5,-,T;
37,45,5,-,T;
37,38,5,-,T;
37,44,5,-,T;
37,46,5,-,T;
38,46,5,-,T;
38,39,5,-,T;
38,45,5,-,T;
38,47,5,-,T;
39,47,5,-,T;
39,40,5,-,T;
39,46,5,-,T;
39,48,5,-,T;
40,48,5,-,T;
40,47,5,-,T;
41,49,5,-,T;
41,42,5,-,T;
41,50,5,-,T;
42,50,5,-,T;
42,43,5,-,T;
42,49,5,-,T;
42,51,5,-,T;
43,51,5,-,T;
43,44,5,-,T;
43,50,5,-,T;
43,52,5,-,T;
44,52,5,-,T;
44,45,5,-,T;
44,51,5,-,T;
44,53,5,-,T;
45,53,5,-,T;
45,46,5,-,T;
45,52,5,-,T;
45,54,5,-,T;
46,54,5,-,T;
46,47,5,-,T;
46,53,5,-,T;
46,55,5,-,T;
47,55,5,-,T;
47,48,5,-,T;
47,54,5,-,T;
47,56,5,-,T;
48,56,5,-,T;
48,55,5,-,T;
49,50,5,-,T;
50,51,5,-,T;
51,52,5,-,T;
52,53,5,-,T;
53,54,5,-,T;
54,55,5,-,T;
55,56,5,-,T;
