1,6,3,0;
2,4,2,0;
3,5,5.5,0;
4,8,3,0;
5,4,6.5,0;
6,2.5,3.5,0;
7,4,4,0;
8,4,5,0;
9,2,1,0;
10,7,4.5,0;
11,7,1.5,0;
12,8,1,0;
13,9,1,0;
14,10,1,0;
15,8,6,0;
16,8.5,4.5,0;
17,5.5,4.3,0;
18,5.5,1,0;
19,9.5,6.5,0;
20,9.5,5,0;
21,11,3.5,0;
1,11,6,second,F;
1,17,4,second,T;
2,1,8,second,F;
2,18,6,second,F;
3,17,4,second,T;
3,8,3,second,F;
4,10,7,first,T;
4,14,13,first,T;
4,16,4,second,T;
4,21,12,first,T;
4,11,6,second,T;
5,3,4,second,F;
6,7,4,first,T;
6,9,9,first,T;
7,17,5,first,T;
8,5,5,second,F;
9,2,8,second,F;
10,17,6,first,T;
11,12,3,second,F;
12,13,3,second,F;
13,14,3,second,F;
15,19,6,second,T;
15,16,5,second,T;
16,20,4,second,T;
18,11,5,second,F;
19,20,5,second,T;
