1,2,3,0;
2,3,6,0;
3,10,4,0;
4,5,6,0;
5,10,2.34,0;
6,10,7,0;
7,3,1,0;
8,1,4,0;
9,3.17,3.48,0;
10,6,1.5,0;
11,2,7,0;
12,1,5.5,0;
13,3,2.5,0;
14,8,1,0;
15,4.5,5,0;
16,4,2,0;
17,6,3,0;
18,8,3.5,0;
19,6.5,4,0;
20,9,6,0;
1,8,21,first,T;
1,9,17,second,T;
1,13,18,first,T;
2,15,50,second,T;
2,11,36,second,T;
3,20,62,second,T;
3,5,36,second,T;
4,15,21,second,T;
4,20,196,second,T;
5,18,74,second,T;
5,14,52,second,T;
6,20,38,second,T;
7,13,22,first,T;
7,16,25,first,T;
8,12,26,first,T;
8,15,195,second,T;
9,15,89,second,T;
10,17,39,second,T;
10,16,44,first,T;
11,12,32,first,T;
13,16,19,second,T;
14,18,100,first,T;
15,19,71,second,T;
17,19,28,second,T;
18,19,31,second,T;
18,20,111,first,T;
18,17,32,second,F;
