1,5,5,0;
2,5.5,6,0;
3,7,5.5,0;
4,7,3,0;
5,4.47,2.21,0;
6,4.2,1.02,0;
7,2.24,1.25,0;
8,3.42,1.71,0;
9,2.43,3.59,0;
10,5,3.05,0;
11,3.8,3.11,0;
12,2.59,2.67,0;
13,2.51,5,0;
14,6,3.5,0;
15,1,1,5;
16,5.5,2.5,2;
17,4.4,4,3;
18,1,5,2;
19,6.5,0.5,7;
20,5.5,1.5,9;
21,8,4,0;
22,7,7,3;
24,2,6.5,2;
25,9,2,1;
23,11,4,7;
26,10,3.5,2;
27,11,1,0;
28,12,2,0;
29,12.5,0.5,0;
30,12.5,3,0;
31,7.5,1,0;
32,8,2,0;
33,6.7,1.5,0;
34,8,5.5,0;
35,9,5,0;
36,10,5,0;
37,11,5,0;
38,12,5,0;
39,13,5,0;
40,14,5,0;
41,9,6,0;
42,10,6,0;
43,11,6,0;
44,12,6,3;
45,13,6,0;
46,14,6,0;
1,2,4,second,T;
1,3,7,second,T;
1,17,4,second,T;
2,3,5,second,T;
3,4,12,second,T;
3,22,8,second,F;
3,34,4,second,F;
4,14,3,second,T;
4,32,5,second,T;
4,16,5,highway,T;
4,21,5,highway,T;
5,8,4,highway,T;
5,6,5,second,T;
5,11,4,second,T;
5,16,3,highway,T;
6,8,3,second,T;
7,8,5,highway,T;
7,15,5,second,T;
7,18,18,highway,T;
9,13,7,second,F;
10,14,4,second,F;
10,17,4,second,F;
10,5,3,second,F;
10,11,5,second,T;
11,12,6,second,T;
11,13,9,second,T;
11,17,2,second,T;
12,9,2,second,F;
12,8,6,second,F;
13,1,14,second,F;
13,18,6,second,T;
16,20,3,second,T;
18,24,9,highway,T;
19,20,7,second,F;
20,33,5,second,T;
21,25,11,second,T;
21,26,10,second,T;
21,3,7,second,F;
21,35,37,second,F;
22,34,8,highway,T;
22,24,33,highway,T;
25,26,8,second,F;
25,27,9,second,T;
25,32,3,second,T;
23,30,7,second,T;
23,26,3,second,T;
27,28,5,second,T;
27,29,6,second,T;
28,29,7,second,T;
31,19,4,second,F;
31,33,3,second,T;
32,31,5,second,F;
32,33,5,second,T;
34,21,8,highway,F;
34,41,5,second,F;
34,35,5,second,F;
35,36,5,second,F;
36,37,5,second,F;
37,38,5,second,F;
38,39,5,second,F;
39,40,5,second,F;
41,42,5,second,F;
42,43,5,second,F;
43,44,5,second,F;
44,45,5,second,F;
45,46,5,second,F;
